Name,Unit type,Website,Key dates,Unit purpose,Relevant programs,Focus,Leadership / both nominal and 'practical' leadership,Faculty / departmental affiliations,Budget,Internal funding,External grants,Donors/philanthropy,Development office,Primary departmental anchor (s),Key organizations they connect with,Place in org chart,Twitter,Facebook,General external presentation,Events,Size,Needs,Trajectory,Success in its goals,Challenges it faces,Worth a deeper investigation,Important Links
AMPLab,NULL,https://amplab.cs.berkeley.edu/,Founded 2/2011,"Working at the intersection of three massive trends - powerful machine learning, cloud computing, and crowdsourcing - the AMPLab is integrating algorithms, machines, and people to make sense of Big Data. They are creating a new generation of analytics tools to answer deep questions over dirty and heterogeneous data by extending and fusing machine learning, warehouse-scale computing, and human computation. They validate these ideas on real-world problems, including participatory sensing, urban planning, and personalized medicine with their application and industrial partners.",https://amplab.cs.berkeley.edu/projects/,"Research, training","Michael Franklin, Michael Jordan, Ian Stoica | https://amplab.cs.berkeley.edu/people/","EECS | David Culler, Michael Franklin (Director), Ken Goldberg, Michael Jordan (Co-director), Anthony Joseph, Randy Katz, Michael Mahoney, David Patterson, Ben Recht, Scott Shenker and Ion Stoica (Co-director).",,,"This research is supported in part by NSF CISE Expeditions Award CCF-1139158, DOE Award SN10040 DE-SC0012463, and DARPA XData Award FA8750-12-2-0331, and gifts from Amazon Web Services, Google, IBM, SAP, The Thomas and Stacey Siebel Foundation, Adatao, Adobe, Apple, Inc., Blue Goji, Bosch, Cisco, Cray, Cloudera, EMC2, Ericsson, Facebook, Fujitsu, Guavus, HP, Huawei, Informatica, Intel, Microsoft, NetApp, Pivotal, Samsung, Schlumberger, Splunk, Virdata and VMware",,"""Industrial Sponsor Program"" | https://amplab.cs.berkeley.edu/about/contact/",,,,,,AMPLab blog: https://amplab.cs.berkeley.edu/blog/,,,,,,,,
Archaeological Research Facility (ARF),NULL,http://arf.berkeley.edu/,NULL,"ARF encourages and carries out archaeological field and laboratory research conducted by UC Berkeley archaeologists and related specialists. As a field of research, archaeology is inherently interdisciplinary and collaborative; not only are there intimate research collaborations among natural scientists, social scientists, and/or humanities scholars, but archaeology is practiced by scholars who expectedly hold faculty and/or research positions in a variety of departments, ranging from classics to earth and planetary science.",http://arf.berkeley.edu/project/arf,Research,Director - Prof. Laurie Wilkie,Anthopology | http://arf.berkeley.edu/arf-people/arf-faculty-associates,,,http://arf.berkeley.edu/what-we-do/donate-arf,,,,,,,,http://arf.berkeley.edu/public-outreach,,,,,,,,
Berkeley Atmospheric Sciences Center (BASC),NULL,http://www.atmos.berkeley.edu/,NULL,"BCCP is focused on understanding the origin and evolution of the universe through a series of programs to define the observations, experiments, concepts, and simulations needed to answer the fundamental questions in cosmology. Combining experimentation, computation, and theory, BCCP continues to develop the foundation of an accurate, reliable model of the cosmos. They compare the implications of this evolving model against observations—thus opening new horizons and expanding our knowledge of the universe.",See members page | http://www.atmos.berkeley.edu/projects.html,Research,Director - Ron Cohen (cohen@cchem.berkeley.edu),"ESPM, Geography, Earth & Planetary Science | http://www.atmos.berkeley.edu/projects.html",,,,,,,,,,,,,,,,,,,
Berkeley Center for Cosmological Physics,NULL,http://bccp.berkeley.edu/,NULL,"The Berkeley Center For Cosmological Physics (BCCP) is focused on understanding the origin and evolution of the universe through a series of programs to define the observations, experiments, concepts, and simulations needed to answer the fundamental questions in cosmology. Combining experimentation, computation, and theory, BCCP continues to develop the foundation of an accurate, reliable model of the cosmos. We compare the implications of this evolving model against observations — thus opening new horizons and expanding our knowledge of the universe.",,,,,,,,,,,,,,,,,,,,,,,
Berkeley Center for New Media,New Initiative Center,http://bcnm.berkeley.edu/,NULL,"The Berkeley Center for New Media is a focal point for research and teaching about new media, led by a highly trans-disciplinary community of 120 affiliated faculty, advisors, and scholars, from 35 UC Berkeley departments. Their mission is to critically analyze and help shape developments in new media from cross-disciplinary and global perspectives that emphasize humanities and the public interest.",,,,,,,,,,"CITRIS, I School","Greg Niemeyer, Director","CITRIS, Craigslist, Meyer Sound",,,,,,,,,,,
Berkeley Initiative in Global Change Biology (BiGCB),NULL,http://globalchange.berkeley.edu/,NULL,The Berkeley Initiative in Global Change Biology uses state-of-the-art tools and technologies to mobilize historic and modern biological data to understand how organisms and ecological systems have responded to past global change events. This work will improve the forecasting of biological system response to future global change.,,,,,,,,,,,,,,,,,,,,,,,
Berkeley KamLAND Group,NULL,http://kamland.lbl.gov/,NULL,"The Berkeley KamLAND (Kamioka Liquid-Scintillator Anti-Neutrino Detector) group consists of physicists from both the Berkeley Lab and the physics department at UC Berkeley. KamLAND  has demonstrated convincingly that neutrinos are massive and undergo flavor oscillations—a profound discovery. Many questions of fundamental significance remain open, but with a new understanding of neutrino propagation, neutrino science is now poised to provide illuminating answers to some of society's most probing questions concerning the Earth; the Sun; and fantastic astrophysical events, such as supernovae.",,,,,,,,,,,,,,,,,,,,,,,
Berkeley Nanosciences and Nanoengineering Institute (BNNI),NULL,http://nano.berkeley.edu/welcome/welcome.html,NULL,"BNNI is the umbrella organization for expanding and coordinating Berkeley research and educational activities in nanoscale science and engineering. BNNI aims to serve as a catalyst for greater interdisciplinary collaboration between Berkeley faculty and students in disciplines such as physics, chemistry, biology, and engineering as well as deepen and expand collaborations with industry, national labs, and government agencies.",,,,,,,,,,,,,,,,,,,,,,,
Berkeley Natural History Museums (BNHM),NULL,http://bnhm.berkeley.edu/,NULL,"The BNHM are world leaders in biodiversity informatics, building data pipelines for data access, quality, and visualizations for use in research and education. Come talk to us about VertNet, the Berkeley Ecoinformatics Engine,  BerkeleyMapper,  AmphibiaWeb, and much more.",,,,,,,,,,,,,,,,,,,,,,,
Berkeley Research Computing,Consulting,http://research-it.berkeley.edu/programs/berkeley-research-computing,NULL,The BRC program supports research with a coordinated set of services for a range of computation and data-analysis needs. BRC includes consulting that ensures faculty are matched to the appropriate resources and that the computation and data resources meet their needs.,,HPC,,,,,,,,,,,,,,,,,,,,,
Berkeley Seismological Laboratory,NULL,http://seismo.berkeley.edu/,NULL,"BSL supports fundamental research into all aspects of earthquakes, solid earth processes, and their effects on society through the collection, archival, and delivery of high-quality geophysical data and through fostering a dynamic research environment that connects researchers across disciplines and to geophysical observations systems.",,,,,,,,,,,,,,,The seismo blog: http://seismo.berkeley.edu/blog/seismoblog.php,,,,,,,,
BIDS,"Research Institute, Physical Space, Infrastructure",bids.berkeley.edu,Founded 2014,"The Berkeley Institiute for Data Science (BIDS) exists as a collaborative space for researchers on campus interested in ""data science"" methods. This includes the development of new methods as well as training and reserach for incorporating existing methods into current research. They host seminars, workgroups, and workshops, and fund several part-time positions for researchers to conduct data science research.",,,,,,,,,,,,,,,,,,,,,,,
California Census Research Data Center (CCRDCs),NULL,http://www.ccrdc.ucla.edu/,NULL,"The California Census Research Data Center (CCRDC) seeks to provide qualified researchers across California with the opportunity to perform statistical analysis on non-public Census microdata. CCRDC is a joint project of the U.S. Census Bureau and UCLA and UC Berkeley, partnering also with Stanford University and the University of Southern California. The secure RDC environment supports qualified researchers while protecting respondent confidentiality with state-of-the-art tools and processes. ",,,,,,,,,,,,,,,,,,,,,,,
California Digital Library,NULL,http://www.cdlib.org/,NULL,"In collaboration with the UC libraries and other partners, the California Digital Library has assembled one of the world’s largest digital research libraries and changed the way that faculty, students, and researchers discover and access information.",,,,,,,,,,,,,,,,,,,,,,,
California Institute for Science and Innovation (QB3),NULL,http://www.qb3.org/,NULL,"QB3 is one of four Governor Gray Davis Institutes for Science and Innovation established in 2000 to ensure the future of the California economy by promoting research and innovation. QB3 is a cooperative effort between the state of California; private industry; venture capital; and the University of California campuses at Berkeley, San Francisco, and Santa Cruz. QB3 harnesses the quantitative sciences of physics and engineering to unify our understanding of biological systems at all levels of complexity, from atoms and molecules to cells, tissues, and entire living organisms. QB3 scientists make discoveries that drive the development of technologies, products, and wholly new industries, ensuring that California remains competitive in the 21st century. ",,,,,,,,,,,,,,,,,,,,,,,
