Name, Website
"AMPLab", https://amplab.cs.berkeley.edu/
"Archaeological Research Facility (ARF)", http://arf.berkeley.edu/
"Berkeley Atmospheric Sciences Center (BASC)", http://www.atmos.berkeley.edu/
"Berkeley Center for Cosmological Physics", http://bccp.berkeley.edu/
"Berkeley Center for New Media", http://bcnm.berkeley.edu/
"Berkeley Initiative in Global Change Biology (BiGCB)", http://globalchange.berkeley.edu/
"Berkeley KamLAND Group", http://kamland.lbl.gov/
"Berkeley Nanosciences and Nanoengineering Institute (BNNI)", http://nano.berkeley.edu
"Berkeley Natural History Museums (BNHM)", http://bnhm.berkeley.edu/
"Berkeley Seismological Laboratory", http://seismo.berkeley.edu/
"BIDS", http://bids.berkeley.edu
"California Census Research Data Center (CCRDCs)", http://www.ccrdc.ucla.edu/
"California Digital Library", http://www.cdlib.org/
"California Institute for Science and Innovation (QB3)", http://www.qb3.org/
"CITRIS ", http://citris-uc.org/
"CollectionSpace", http://www.collectionspace.org/
"Computational Cognitive Science Lab", http://cocosci.berkeley.edu/
"Computational Research Division at the Berkeley Lab ", http://crd.lbl.gov/
"DLab", http://dlab.berkeley.edu
"Electronic Cultural Atlas Initiative (ECAI)", http://www.ecai.org/
"Experimental Social Science Laboratory (XLab)", http://xlab.berkeley.edu/
"Geospatial Innovation Facility (GIF)", http://gif.berkeley.edu/
"Helen Wills Neuroscience Institute", http://neuroscience.berkeley.edu/
"Henry H. Wheeler, Jr. Brain Imaging Center (BIC)", http://bic.berkeley.edu/
"i4Energy Center", http://i4energy.org/
"Joint BioEnergy Institute (JBEI)", http://www.jbei.org/
"Joint Genome Institute (JGI)", http://www.jgi.doe.gov/
"Molecular Foundry", http://foundry.lbl.gov/
"NERSC", https://www.nersc.gov/
"Nuclear Science and Security Consortium (NSSC)", http://nssc.berkeley.edu/
"Redwood Center for Theoretical Neuroscience", http://redwood.berkeley.edu/
"Research IT", http://research-it.berkeley.edu/
"Scalable Data Management, Analysis, and Visualization (SDAV)", http://www.sdav-scidac.org/
"SDAV", http://www.sdav-scidac.org/
"Simons Institute", http://simons.berkeley.edu/
"Space Sciences Laboratory (SSL)", http://www.ssl.berkeley.edu/
"Synthetic Biology Engineering Research Center (SYNBERC)", http://synberc.org/
"The Archaeological Research Facility", http://arf.berkeley.edu/
"The Electronic Cultural Atlas Initiative", http://www.ecai.org/
"Townsend Center for the Humanities", http://townsendcenter.berkeley.edu/
"Urban Analytics Lab", http://ual.berkeley.edu/
"UrbanSim", http://www.urbansim.org/Main/WebHome
"Visualization Group", http://vis.berkeley.edu/
