Name, Website
"Berkeley Research Computing", http://research-it.berkeley.edu/programs/berkeley-research-computing
"Center for Causal Inference", http://igs.berkeley.edu/research/center-for-causal-inference
"Center for Long-Term Cybersecurity", http://www.ischool.berkeley.edu/cltc
"Center for Time Domain Informatics (CTDI)", https://sites.google.com/site/cftdinfo/
"Computational Cosmology Center (C³)", http://crd.lbl.gov/groups-depts/computational-cosmology-center/
"Computational Genomics Resource Laboratory (CGRL)", http://qb3.berkeley.edu/qb3/cgrl/
"Energy Frontier Research Center (EFRC)", http://www.cchem.berkeley.edu/co2efrc/
"Institute for Business Innovation", http://businessinnovation.berkeley.edu/data-science-strategy/
"Radio Astronomy Laboratory (RAL)", http://vcresearch.berkeley.edu/research-unit/radio-astronomy-laboratory
"Theoretical Astrophysics Center (TAC)", http://astro.berkeley.edu/tac/
"Center for Computational Biology (CCB)", http://qb3.berkeley.edu/ccb/
